seed,optimal_nc,train_baseline_mae,train_optimized_mae,test_standard_mae,test_optimized_mae,test_final_mae,test_final_within_050,test_final_within_100,improvement_percent
42,1.339993443519811,1.5514695580267925,0.9732858475053068,1.3190767786985027,1.27879214133076,1.27879214133076,30.434782608695656,47.82608695652174,3.0540024673537616
123,1.325,1.4473491260541258,1.1065229444883184,1.5596308801525944,1.2622021860381492,1.2622021860381492,41.37931034482759,62.06896551724138,19.070454291424703
456,1.3398325831002307,1.5905759373457922,1.0326491267621982,1.228727557513227,1.1671442096737914,1.1671442096737914,23.076923076923077,57.692307692307686,5.011961151426581
789,1.3399711333076556,1.486675700685933,0.9599450001680498,1.4687729318653167,1.2126095357330686,1.2126095357330686,19.230769230769234,69.23076923076923,17.440639773155738
2024,1.3399852351609787,1.5795680154516103,1.0369172888064688,1.2541596529239227,1.044135916470388,1.044135916470388,23.076923076923077,61.53846153846154,16.746172304609665
