,test_mae,test_std,train_mae,improvement,overfit_ratio
Full Combined (quadratic),0.9491320627754638,0.10886977611137957,0.9010305237700523,35.81764260141796,1.0563979497464024
Multiplicative,1.0107972767562061,0.0678789671562063,0.9037409984490716,31.08184209425936,12.098515971130164
Param+Mult,1.0559507822841752,0.015835662135879905,0.8935559532775932,27.9811351003182,1.1818266591647588
Parameter Opt,1.320520177824171,0.17384843302360442,1.1668395068301702,11.082612274154176,14.080351522570599
Baseline SRK/T2,1.48139681280405,0.15025358867194274,,0.0,
Additive (quadratic),1.5037665180729147,0.17755924908295506,1.268163818532197,-1.37616818962899,1.1913460398352158
