,test_mae,test_std,train_mae,improvement,overfit_ratio
Multiplicative,0.9334647277213822,0.14960641464780974,0.8593607422102446,24.932217196728505,9.937403506491188
Full Combined (quadratic),0.9523053478921604,0.15010785048302064,0.8361528368587281,23.465538459203483,1.1547796809725
Baseline SRK/T2,1.2468512153377396,0.1562256493976616,,0.0,
Additive (quadratic),1.2587079040382947,0.19408262633757234,1.1234330232970764,-0.8095880450108105,1.1325001057238775
Parameter Opt,1.3382168867178341,0.2894628333216567,1.025588578763978,-6.5232440929581745,32.19918855947647
